pixel_id,district,lon,lat,x_utm50n_m,y_utm50n_m,rad_2013,rad_2014,rad_2015,rad_2016,rad_2017,rad_2018,rad_2019,rad_2020,rad_2021,rad_2022,rad_2023,rad_2024,mean_rad_2013_2024,median_rad_2013_2024,std_rad_2013_2024,min_rad_2013_2024,max_rad_2013_2024,range_rad_2013_2024,cv_rad_2013_2024,change_2024_minus_2013,growth_rate_2024_vs_2013,trend_slope_rad_per_year,z_mean_rad_2013_2024,z_std_rad_2013_2024,z_range_rad_2013_2024,z_cv_rad_2013_2024,z_change_2024_minus_2013,z_growth_rate_2024_vs_2013,z_trend_slope_rad_per_year
同安区_117.948884_24.846895,同安区,117.94888431520256,24.846895232746824,595872.8102549692,2748328.4543900792,0.0,0.0,0.0,0.0,0.0,0.44713077,0.7830659,0.5601247,1.6428679,1.8337207,1.8100084,1.1184483,0.6829472225000001,0.503627735,0.7458039258795273,0.0,1.8337207,1.8337207,1.0920374244285431,1.1184483,1118.4483,0.1806283235314584,-0.8184148016586886,-0.6607411778344202,-0.7040516510857717,1.184098267755234,-0.49190424063500254,0.3351919139741147,-0.4804608335017942
同安区_117.948884_24.851387,同安区,117.94888431520256,24.851386809167423,595869.3484150461,2748825.8346199985,0.0,0.0,0.0,0.0,0.0,0.776599,1.4686033,0.75288254,3.4472165,3.2167354,3.1640568,1.979886,1.2338316283333335,0.76474077,1.3889348493068079,0.0,3.4472165,3.4472165,1.1257085792029733,1.979886,1979.886,0.3250319560139671,-0.7845681429968576,-0.5367038528806375,-0.5965251451960276,1.2516980752061526,-0.42172797364739223,0.7275834692673475,-0.366816827519371
同安区_117.948884_24.855878,同安区,117.94888431520256,24.85587838558802,595865.8859871033,2749323.2151406896,0.0,0.0,0.0,0.0,0.0,1.2691709,1.428443,1.4028163,3.2848732,2.9927514,2.7442017,1.8824528,1.2503924416666665,1.3359936000000001,1.2677319421229427,0.0,3.2848732,3.2848732,1.0138672466966965,1.8824528,1882.4528,0.3047067933566257,-0.7835506369826736,-0.5600796288479831,-0.607344019223224,1.0271601110903548,-0.42966528386339187,0.6832018907908116,-0.3828124978977074
同安区_117.948884_24.86037,同安区,117.94888431520256,24.86036996200862,595862.4229711611,2749820.59595219,0.0,0.0,0.0,0.0,0.79310364,1.9959106,1.663235,1.9275099,2.383381,1.7358588,1.6612595,1.4140841,1.1311952116666666,1.5376718,0.9141421232717183,0.0,2.383381,2.383381,0.8081205735700124,1.4140841,1414.0841,0.20155496636362602,-0.7908741841997032,-0.6282746629593503,-0.6674212170398272,0.6140933309277394,-0.4678205293789294,0.4698563143856118,-0.4639918051101507
同安区_117.948884_24.864862,同安区,117.94888431520256,24.864861538429217,595858.9593672398,2750317.9770545405,0.0,0.0,0.0,0.0,0.84866095,1.7008004,1.5934259,1.2495239,1.5759016,1.14454,1.025859,0.98759043,0.843858515,1.006724715,0.6734751378209325,0.0,1.7008004,1.7008004,0.7980901132708633,0.98759043,987.59043,0.12965988839160278,-0.8085283181525114,-0.6746908559810217,-0.7129097190279483,0.5939557030557818,-0.5025644622883502,0.27558513900749815,-0.5205724085942706
同安区_117.948884_24.869353,同安区,117.94888431520256,24.86935311484981,595855.4951753599,2750815.358447778,0.0,0.0,0.0,0.0,0.542976,0.89230186,0.98007166,0.95974046,1.2128081,0.79863685,0.820947,0.80196786,0.5841208158333334,0.8003023549999999,0.45767524773076135,0.0,1.2128081,1.2128081,0.7835283991340404,0.80196786,801.96786,0.10210745136363157,-0.8244867536286522,-0.7163110613187794,-0.745430477321896,0.5647209150480929,-0.5176860422136847,0.19103261833208893,-0.5422558611820465
同安区_117.953376_24.748081,同安区,117.95337589162315,24.74808055149368,596403.0263121425,2737389.319557319,0.0,0.0,0.0,0.0,0.6532222,0.0,0.63303006,0.6905268,0.6325976,0.0,0.0,0.0,0.217448055,0.0,0.3215063133836562,0.0,0.6905268,0.6905268,1.4785430634624726,0.0,0.0,0.013664097412587476,-0.8470153415594418,-0.7425732573086943,-0.7802363214279379,1.9600653218234017,-0.5830176508243161,-0.17426996348036905,-0.6118597684572703
同安区_117.953376_24.752572,同安区,117.95337589162315,24.75257212791428,596399.5610823111,2737886.693823443,0.0,0.0,0.0,0.0,0.5993683,0.0,0.63407373,0.7173138,0.6454161,0.7502763,0.0,0.7716025,0.34317089416666663,0.29968415,0.36149722456382055,0.0,0.7716025,0.7716025,1.0534029275462198,0.7716025,771.6025,0.0627781549999987,-0.8392908571154987,-0.7348604177225991,-0.7748332787094101,1.1065338192620244,-0.5201597296440525,0.17720096128081414,-0.5732075672741669
同安区_117.953376_24.757064,同安区,117.95337589162315,24.757063704334875,596396.0952612278,2738384.0683794008,0.0,0.0,0.0,0.0,0.0,0.0,0.71719897,0.7413131,0.67912257,0.76986855,0.81785935,0.79731077,0.3768894425,0.339561285,0.39518408622818535,0.0,0.81785935,0.81785935,1.0485411414202332,0.79731077,797.3107699999999,0.09740204052447117,-0.8372191698723567,-0.7283634074643007,-0.7717506320400069,1.09677306682612,-0.5180654279675534,0.18891127770787364,-0.5459589656563753
同安区_117.953376_24.761555,同安区,117.95337589162315,24.761555280755463,596392.628848913,2738881.443225233,0.0,0.0,0.0,0.0,0.0,0.0,0.732979,0.7642304,0.7008778,0.79118705,0.0,0.83017564,0.3182874908333333,0.0,0.3945102174899174,0.0,0.83017564,0.83017564,1.2394776070433036,0.83017564,830.1756399999999,0.07412692513985779,-0.8408197079053372,-0.7284933730321501,-0.7709298504617563,1.4801061719110773,-0.5153881201464153,0.20388148095508457,-0.5642762150671959
